j_i: 0, vi: 174, bitPtr: 240, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 175, bitPtr: 240, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 177, bitPtr: 6, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 178, bitPtr: 6, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 188, bitPtr: 240, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 189, bitPtr: 240, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 190, bitPtr: 240, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 191, bitPtr: 240, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 193, bitPtr: 6, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 194, bitPtr: 6, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 208, bitPtr: 1, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 216, bitPtr: 5, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 218, bitPtr: 5, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 224, bitPtr: 153, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 227, bitPtr: 153, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 228, bitPtr: 153, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 231, bitPtr: 153, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 236, bitPtr: 240, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 237, bitPtr: 240, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 238, bitPtr: 240, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 239, bitPtr: 240, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 264, bitPtr: 139, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 265, bitPtr: 139, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 267, bitPtr: 139, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 271, bitPtr: 139, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 284, bitPtr: 176, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 285, bitPtr: 176, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 287, bitPtr: 176, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 288, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 289, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 290, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 291, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 300, bitPtr: 208, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 302, bitPtr: 208, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 303, bitPtr: 208, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 304, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 305, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 306, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 307, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
